version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,West Indies
info,gender,male
info,season,2024
info,date,2024/06/21
info,event,ICC Men's T20 World Cup
info,match_number,46
info,venue,"Kensington Oval, Bridgetown, Barbados"
info,city,Bridgetown
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,RL Chase
info,umpire,A Paleker
info,umpire,PR Reiffel
info,reserve_umpire,AG Wharf
info,tv_umpire,RJ Tucker
info,match_referee,DC Boon
info,winner,West Indies
info,winner_wickets,9
info,player,United States of America,SR Taylor
info,player,United States of America,AGS Gous
info,player,United States of America,NR Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,CJ Anderson
info,player,United States of America,Milind Kumar
info,player,United States of America,Harmeet Singh
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,NP Kenjige
info,player,United States of America,Ali Khan
info,player,United States of America,SN Netravalkar
info,player,West Indies,SD Hope
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,AD Russell
info,player,West Indies,SE Rutherford
info,player,West Indies,RL Chase
info,player,West Indies,OC McCoy
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,G Motie
info,registry,people,A Paleker,634b11ac
info,registry,people,AD Russell,bbd41817
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AGS Gous,d1305df0
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,CJ Anderson,8abdf100
info,registry,people,DC Boon,e79a1fe3
info,registry,people,G Motie,97bdec3d
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,J Charles,09a9d073
info,registry,people,Milind Kumar,b4296080
info,registry,people,N Pooran,3241e3fd
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,OC McCoy,529eb9e0
info,registry,people,PR Reiffel,c9354f29
info,registry,people,R Powell,650d5e49
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RL Chase,3feda4fa
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SR Taylor,a9231c3f
