version,2.2.0
info,balls_per_over,6
info,team,Italy
info,team,Jersey
info,gender,male
info,season,2023
info,date,2023/07/23
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,8
info,venue,"Goldenacre, Edinburgh"
info,city,Edinburgh
info,toss_winner,Jersey
info,toss_decision,field
info,player_of_match,WL Madsen
info,umpire,DA Haggo
info,umpire,J Jensen
info,reserve_umpire,N Bathi
info,match_referee,Phil Whitticase
info,winner,Italy
info,winner_runs,25
info,player,Italy,J Mosca
info,player,Italy,BAD Manenti
info,player,Italy,WL Madsen
info,player,Italy,AJ Mosca
info,player,Italy,G Stewart
info,player,Italy,M Campopiano
info,player,Italy,HJ Manenti
info,player,Italy,GP Meade
info,player,Italy,GK Berg
info,player,Italy,Jaspreet Singh
info,player,Italy,CJPF Kalugamage
info,player,Jersey,H Carlyon
info,player,Jersey,J Sumerauer
info,player,Jersey,NA Greenwood
info,player,Jersey,AM Tribe
info,player,Jersey,JW Jenner
info,player,Jersey,B Ward
info,player,Jersey,JAD Lawrenson
info,player,Jersey,C Brennan
info,player,Jersey,DG Blampied
info,player,Jersey,CW Perchard
info,player,Jersey,EJB Miles
info,registry,people,AJ Mosca,19c56e6e
info,registry,people,AM Tribe,86f84b37
info,registry,people,B Ward,9e0bd203
info,registry,people,BAD Manenti,ab21795b
info,registry,people,C Brennan,80f9fd4f
info,registry,people,CJPF Kalugamage,31c04b7b
info,registry,people,CW Perchard,9f998ed8
info,registry,people,DA Haggo,e6789a88
info,registry,people,DG Blampied,d8976cb7
info,registry,people,EJB Miles,6b46ce43
info,registry,people,G Stewart,a77472dc
info,registry,people,GK Berg,42151725
info,registry,people,GP Meade,3957a70a
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,HJ Manenti,0e56c514
info,registry,people,J Jensen,fc80e7a2
info,registry,people,J Mosca,8f02f6a8
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,JAD Lawrenson,c810b349
info,registry,people,JW Jenner,32a8161e
info,registry,people,Jaspreet Singh,d76ab352
info,registry,people,M Campopiano,26d80a9d
info,registry,people,N Bathi,96a0edf9
info,registry,people,NA Greenwood,7ca68967
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,WL Madsen,86e0f3f0
