version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Uganda
info,gender,female
info,season,2024/25
info,date,2025/03/08
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,1
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Uganda
info,toss_decision,field
info,player_of_match,I Nakisuuyi
info,umpire,AY Harris
info,umpire,S Athuola
info,reserve_umpire,Patric Makumbi
info,winner,Uganda
info,winner_wickets,8
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,WK Lai
info,player,Hong Kong,K Mahekdeep
info,player,Hong Kong,M Wai Siu
info,player,Uganda,J Mbabazi
info,player,Uganda,I Nakisuuyi
info,player,Uganda,M Ariokot
info,player,Uganda,P Alako
info,player,Uganda,C Aweko
info,player,Uganda,K Awino
info,player,Uganda,P Malemikia
info,player,Uganda,PE Kulume
info,player,Uganda,R Musamali
info,player,Uganda,S Walaza
info,player,Uganda,S Nampiina
info,registry,people,AY Harris,90d95b82
info,registry,people,C Aweko,01c1b96c
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,K Mahekdeep,d13c1b74
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Ariokot,c328bc6c
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,NT Miles,d27d0835
info,registry,people,P Alako,fcf37e14
info,registry,people,P Malemikia,554a83e5
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Musamali,017cadb2
info,registry,people,S Athuola,7c94cfd1
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Walaza,f67ea6d2
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
