version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,Sri Lanka
info,gender,male
info,season,2022/23
info,date,2022/10/23
info,event,ICC Men's T20 World Cup
info,match_number,15
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,BKG Mendis
info,umpire,Ahsan Raza
info,umpire,CB Gaffaney
info,reserve_umpire,MA Gough
info,tv_umpire,Nitin Menon
info,match_referee,DC Boon
info,winner,Sri Lanka
info,winner_wickets,9
info,player,Ireland,PR Stirling
info,player,Ireland,A Balbirnie
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,Simi Singh
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,KNA Bandara
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,C Karunaratne
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,CBRLS Kumara
info,player,Sri Lanka,B Fernando
info,registry,people,A Balbirnie,6ef13460
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,B Fernando,dabbd0ae
info,registry,people,BJ McCarthy,3766056b
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Campher,478a63e7
info,registry,people,C Karunaratne,fb3e0d39
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CBRLS Kumara,4751caa3
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DM de Silva,7d608e12
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Little,9061a703
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KNA Bandara,585dda5d
info,registry,people,L Tucker,3979b5e0
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MR Adair,fc55ec67
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PR Stirling,cf494ffe
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,Simi Singh,c9945bdf
