version,2.2.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,male
info,season,2024
info,date,2024/07/30
info,event,India tour of Sri Lanka
info,match_number,3
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,Washington Sundar
info,umpire,RR Wimalasiri
info,umpire,RSA Palliyaguruge
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,LE Hannibal
info,match_referee,RS Madugalle
info,outcome,tie
info,eliminator,India
info,player,India,YBK Jaiswal
info,player,India,Shubman Gill
info,player,India,SV Samson
info,player,India,RK Singh
info,player,India,SA Yadav
info,player,India,S Dube
info,player,India,R Parag
info,player,India,Washington Sundar
info,player,India,Ravi Bishnoi
info,player,India,Mohammed Siraj
info,player,India,KK Ahmed
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,RTM Mendis
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,C Wickramasinghe
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,AM Fernando
info,player,Sri Lanka,M Pathirana
info,registry,people,AM Fernando,de3d549a
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Wickramasinghe,a5c48ed1
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KK Ahmed,a2f46292
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Parag,04a418e8
info,registry,people,RK Singh,0a509d6b
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RS Madugalle,766b5798
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,RTM Mendis,1be67d37
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YBK Jaiswal,6c19c6e5
