version,2.2.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Estonia
info,gender,female
info,season,2024
info,date,2024/04/21
info,event,Estonia Women tour of Gibraltar
info,match_number,2
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Estonia
info,toss_decision,field
info,player_of_match,EAS Ferrary
info,umpire,S Maynard
info,umpire,SG Chandiramani
info,match_referee,A Elliott
info,winner,Gibraltar
info,winner_runs,128
info,player,Gibraltar,AIV Benatar
info,player,Gibraltar,N Caruana
info,player,Gibraltar,RA Reilly
info,player,Gibraltar,EAS Ferrary
info,player,Gibraltar,CT McNally
info,player,Gibraltar,H Mumford
info,player,Gibraltar,LJ Payas
info,player,Gibraltar,S Barton
info,player,Gibraltar,P Raghunath
info,player,Gibraltar,P Chugani
info,player,Gibraltar,YS Blagg
info,player,Estonia,Viktoria Frey
info,player,Estonia,B Wani
info,player,Estonia,Ragne Hallik
info,player,Estonia,L Sormus
info,player,Estonia,H Kerge
info,player,Estonia,M Valner
info,player,Estonia,N Zholudz
info,player,Estonia,N Tykhonravova
info,player,Estonia,L Dalbina
info,player,Estonia,M Frey
info,player,Estonia,E Ellermaa
info,registry,people,A Elliott,f48d5563
info,registry,people,AIV Benatar,e8bdbbca
info,registry,people,B Wani,a651cd4d
info,registry,people,CT McNally,6a32ef43
info,registry,people,E Ellermaa,37c085d2
info,registry,people,EAS Ferrary,c3c905ae
info,registry,people,H Kerge,76207d36
info,registry,people,H Mumford,6462c64b
info,registry,people,L Dalbina,2b661b53
info,registry,people,L Sormus,3486a171
info,registry,people,LJ Payas,49355360
info,registry,people,M Frey,4b5debcd
info,registry,people,M Valner,b5472435
info,registry,people,N Caruana,00d1544c
info,registry,people,N Tykhonravova,b9f09828
info,registry,people,N Zholudz,a60bff88
info,registry,people,P Chugani,c15f0546
info,registry,people,P Raghunath,2e287171
info,registry,people,RA Reilly,77276fff
info,registry,people,Ragne Hallik,1ac4b030
info,registry,people,S Barton,f7dd8b46
info,registry,people,S Maynard,12a7e02a
info,registry,people,SG Chandiramani,4fa795d2
info,registry,people,Viktoria Frey,fed9a316
info,registry,people,YS Blagg,3aac5463
