version,2.2.0
info,balls_per_over,6
info,team,Mozambique
info,team,Nigeria
info,gender,male
info,season,2022/23
info,date,2022/12/01
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,3
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Nigeria
info,toss_decision,field
info,player_of_match,AA Onikoyi
info,umpire,F Mutizwa
info,umpire,S Kintu
info,reserve_umpire,Lauren Agenbag
info,match_referee,SA Fritz
info,winner,Nigeria
info,winner_wickets,8
info,player,Mozambique,J Bulele
info,player,Mozambique,F Damiao Couana
info,player,Mozambique,L Emilio
info,player,Mozambique,JM Joao
info,player,Mozambique,AA Navicha
info,player,Mozambique,FE Carava
info,player,Mozambique,FA Cossa
info,player,Mozambique,LA Simango
info,player,Mozambique,DV Macome
info,player,Mozambique,AT Chuvale
info,player,Mozambique,CB Roposo
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,AA Onikoyi
info,player,Nigeria,A Shreshta
info,player,Nigeria,AE Isesele
info,player,Nigeria,SA Okpe
info,player,Nigeria,P Aho
info,player,Nigeria,CN Onwuzulike
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,P Useni
info,player,Nigeria,IO Okpe
info,player,Nigeria,C Udekwe
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AA Navicha,5c805a60
info,registry,people,AA Onikoyi,409ce380
info,registry,people,AE Isesele,5249f9c4
info,registry,people,AT Chuvale,deb4469d
info,registry,people,C Udekwe,74a578d0
info,registry,people,CB Roposo,31f01815
info,registry,people,CN Onwuzulike,715dbf27
info,registry,people,DV Macome,af4c15c5
info,registry,people,F Damiao Couana,2c535f08
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,FA Cossa,3b52d247
info,registry,people,FE Carava,dc650363
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,J Bulele,2dde3e62
info,registry,people,JM Joao,2ef6c852
info,registry,people,L Emilio,31adde7f
info,registry,people,LA Simango,16084b50
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,P Aho,2e392afa
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,S Kintu,ff387f93
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
