version,2.2.0
info,balls_per_over,6
info,team,Oman
info,team,United States of America
info,gender,male
info,season,2024/25
info,date,2025/02/21
info,event,United States of America tour of Oman
info,match_number,2
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,United States of America
info,toss_decision,field
info,player_of_match,MD Patel
info,umpire,Rahul Asher
info,umpire,Vinod Babu
info,reserve_umpire,Harikrishna Pillai
info,match_referee,V Narayan Kutty
info,winner,United States of America
info,winner_wickets,4
info,player,Oman,Aamir Kaleem
info,player,Oman,Jatinder Singh
info,player,Oman,Mujibur Ali
info,player,Oman,Hammad Mirza
info,player,Oman,Wasim Ali
info,player,Oman,V Shukla
info,player,Oman,J Ramanandi
info,player,Oman,Sufyan Mehmood
info,player,Oman,Shakeel Ahmed
info,player,Oman,B Siddharth
info,player,Oman,Muhammed Imran
info,player,United States of America,SR Taylor
info,player,United States of America,SR Mukkamalla
info,player,United States of America,MD Patel
info,player,United States of America,Milind Kumar
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Aaron Jones
info,player,United States of America,Ali Sheikh
info,player,United States of America,SV Wiig
info,player,United States of America,Yasir Mohammad
info,player,United States of America,Ali Khan
info,player,United States of America,J Drysdale
info,registry,people,Aamir Kaleem,7ecb9a14
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,Ali Sheikh,fa4f5a0b
info,registry,people,B Siddharth,80de053e
info,registry,people,Hammad Mirza,0b7b78c6
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,J Drysdale,23f94c02
info,registry,people,J Ramanandi,f7ce2ff9
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,MD Patel,25d7f1ac
info,registry,people,Milind Kumar,b4296080
info,registry,people,Muhammed Imran,5278cecc
info,registry,people,Mujibur Ali,e88468b7
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,SR Taylor,a9231c3f
info,registry,people,SV Wiig,44f11bd0
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Sufyan Mehmood,bf172ae6
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Shukla,101b1180
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Wasim Ali,ea59139a
info,registry,people,Yasir Mohammad,fe5175ce
