version,2.2.0
info,balls_per_over,6
info,team,Argentina
info,team,Brazil
info,gender,female
info,season,2024/25
info,date,2025/03/17
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,11
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Brazil
info,toss_decision,field
info,player_of_match,CS Nascimento
info,umpire,JM Williams
info,umpire,Jermaine Lindo
info,reserve_umpire,M Abbott
info,tv_umpire,C La Borde
info,match_referee,Denavon Hayles
info,winner,Brazil
info,winner_wickets,6
info,player,Argentina,A Galan
info,player,Argentina,M Lollo
info,player,Argentina,L Taylor
info,player,Argentina,M Castineiras
info,player,Argentina,A Stocks
info,player,Argentina,M Martinez
info,player,Argentina,MV Lehmann
info,player,Argentina,T Basile
info,player,Argentina,A Prince
info,player,Argentina,C Sosa
info,player,Argentina,M Bestani
info,player,Brazil,LV Boas
info,player,Brazil,L Cardoso
info,player,Brazil,RMAM Avery
info,player,Brazil,L Agatha
info,player,Brazil,MR Machado
info,player,Brazil,CS Nascimento
info,player,Brazil,NC Monteiro
info,player,Brazil,MLG Silva
info,player,Brazil,G Ribeiro
info,player,Brazil,M Ribeiro
info,player,Brazil,L Moises
info,registry,people,A Galan,ad5165c2
info,registry,people,A Prince,da994dd7
info,registry,people,A Stocks,c999c416
info,registry,people,C La Borde,32157f67
info,registry,people,C Sosa,b2f4cb0d
info,registry,people,CS Nascimento,df997334
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,G Ribeiro,556e2874
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,L Moises,b27f9716
info,registry,people,L Taylor,8af91a3e
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Bestani,e8045847
info,registry,people,M Castineiras,b9094958
info,registry,people,M Lollo,e6d1f4bb
info,registry,people,M Martinez,f0ddeafb
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,MR Machado,4a4f94fa
info,registry,people,MV Lehmann,d2c61d83
info,registry,people,NC Monteiro,752af5a4
info,registry,people,RMAM Avery,4cf645c9
info,registry,people,T Basile,7a640d66
