version,2.2.0
info,balls_per_over,6
info,team,Netherlands
info,team,Jersey
info,gender,female
info,season,2023
info,date,2023/08/25
info,event,Jersey Women tour of Netherlands
info,match_number,3
info,venue,"Sportpark Maarschalkerweerd, Utrecht"
info,city,Utrecht
info,toss_winner,Jersey
info,toss_decision,field
info,umpire,M Prabhudesa
info,umpire,WPM van Liemt
info,reserve_umpire,M Hancock
info,match_referee,Adriaan van den Dries
info,outcome,no result
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,P Molkenboer
info,player,Netherlands,EN Lynch
info,player,Netherlands,CH van Koolwijk
info,player,Netherlands,HWA Landheer
info,player,Netherlands,I van der Woning
info,player,Netherlands,C de Lange
info,player,Netherlands,MM Dekeling
info,player,Jersey,R Bowley
info,player,Jersey,A Aikenhead
info,player,Jersey,G Wetherall
info,player,Jersey,S Hanson
info,player,Jersey,A Merritt
info,player,Jersey,F Tanguy
info,player,Jersey,CM Greechan
info,player,Jersey,M Maguire
info,player,Jersey,MD Rocha
info,player,Jersey,E Gouge
info,player,Jersey,E Duffy
info,registry,people,A Aikenhead,007f121f
info,registry,people,A Merritt,4c87bd01
info,registry,people,Adriaan van den Dries,94b5ec3b
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,CH van Koolwijk,27d5901c
info,registry,people,CM Greechan,569bbcbb
info,registry,people,E Duffy,52bbb9e5
info,registry,people,E Gouge,e01e17ee
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,F Tanguy,c46400b7
info,registry,people,G Wetherall,5c77d7cb
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,I van der Woning,5aa8574b
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,M Hancock,deb8c9a5
info,registry,people,M Maguire,0441a1f5
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,MD Rocha,30aa04d2
info,registry,people,MM Dekeling,983a0c34
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Bowley,a42406e2
info,registry,people,R Rijke,42e4b276
info,registry,people,S Hanson,711c82b5
info,registry,people,WPM van Liemt,2bd48588
