version,2.2.0
info,balls_per_over,6
info,team,Croatia
info,team,Serbia
info,gender,male
info,season,2023
info,date,2023/06/24
info,event,Quadrangular Twenty20 Series (Bulgaria)
info,match_number,5
info,venue,"National Sports Academy, Sofia"
info,city,Sofia
info,toss_winner,Croatia
info,toss_decision,bat
info,player_of_match,M Sarenac
info,winner,Serbia
info,winner_wickets,9
info,player,Croatia,A Daxini
info,player,Croatia,Naseem Khan
info,player,Croatia,P Bosnjak
info,player,Croatia,V Zanko
info,player,Croatia,A Magdalenic
info,player,Croatia,WK Bitis
info,player,Croatia,Sohail Ahmad
info,player,Croatia,L Stubbs
info,player,Croatia,H Hajnic
info,player,Croatia,A Faletar
info,player,Croatia,D Faletar
info,player,Serbia,WAE Burton
info,player,Serbia,A Dizija
info,player,Serbia,LA Dunbar
info,player,Serbia,MV Pavlovic
info,player,Serbia,S Tosic
info,player,Serbia,V Zimonjic
info,player,Serbia,N Zimonjic
info,player,Serbia,NR Johns-Wickberg
info,player,Serbia,Rahman Ademi
info,player,Serbia,AA Gajic
info,player,Serbia,M Sarenac
info,registry,people,A Daxini,2f949d55
info,registry,people,A Dizija,6483c062
info,registry,people,A Faletar,b8889eb7
info,registry,people,A Magdalenic,d6a2f3a5
info,registry,people,AA Gajic,a768a762
info,registry,people,D Faletar,8c911414
info,registry,people,H Hajnic,bcac2e51
info,registry,people,L Stubbs,b0f332e1
info,registry,people,LA Dunbar,f50433e9
info,registry,people,M Sarenac,f5ba4611
info,registry,people,MV Pavlovic,2809b390
info,registry,people,N Zimonjic,638f451b
info,registry,people,NR Johns-Wickberg,3924b2ee
info,registry,people,Naseem Khan,cfbd3998
info,registry,people,P Bosnjak,fed92736
info,registry,people,Rahman Ademi,a9fd6ca3
info,registry,people,S Tosic,1c40f69f
info,registry,people,Sohail Ahmad,7e439c80
info,registry,people,V Zanko,4a78f962
info,registry,people,V Zimonjic,7f784eb8
info,registry,people,WAE Burton,b0358c6d
info,registry,people,WK Bitis,b34de9a6
