version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Rwanda
info,gender,male
info,season,2023/24
info,date,2023/11/27
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,13
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,Sikandar Raza
info,umpire,Lauren Agenbag
info,umpire,LB Gcuma
info,reserve_umpire,D Odhiambo
info,match_referee,GH Pienaar
info,winner,Zimbabwe
info,winner_runs,144
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,NR Welch
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,CT Mumba
info,player,Zimbabwe,C Madande
info,player,Rwanda,O Manishimwe
info,player,Rwanda,W Niyitanga
info,player,Rwanda,Hamza Khan
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,C Rububagumya
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Sebareme
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,E Rukiriza
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,C Madande,3560a786
info,registry,people,C Rububagumya,8088632c
info,registry,people,CT Mumba,28496266
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,D Odhiambo,45994517
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,LM Jongwe,b8704508
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,NR Welch,74c6c6e0
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Marumani,3d5d51a5
info,registry,people,W Madhevere,a879b92c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
