version,2.2.0
info,balls_per_over,6
info,team,Bahamas
info,team,Bermuda
info,gender,male
info,season,2025
info,date,2025/04/23
info,event,North America T20 Cup
info,match_number,8
info,venue,"Jimmy Powell Oval, Cayman Islands"
info,city,George Town
info,toss_winner,Bahamas
info,toss_decision,bat
info,player_of_match,D Sabir
info,umpire,L Watson
info,umpire,P Manning
info,reserve_umpire,A Gajjar
info,winner,Bermuda
info,winner_wickets,10
info,player,Bahamas,M Taylor
info,player,Bahamas,Festus Benn
info,player,Bahamas,RA Tappin
info,player,Bahamas,K Hinds
info,player,Bahamas,R Davson
info,player,Bahamas,J Jemison
info,player,Bahamas,A Harris
info,player,Bahamas,Sandeep Goud
info,player,Bahamas,R Patten
info,player,Bahamas,R Smith
info,player,Bahamas,AR Nair
info,player,Bermuda,MJ Scotland
info,player,Bermuda,AD Dore
info,player,Bermuda,OGL Bascome
info,player,Bermuda,DL Brangman
info,player,Bermuda,K Fubler
info,player,Bermuda,J Proctor
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,DDE Richardson
info,player,Bermuda,JDA Richardson
info,player,Bermuda,D Sabir
info,player,Bermuda,S Smith
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Harris,bbafa5d6
info,registry,people,AD Dore,aa867444
info,registry,people,AR Nair,06907633
info,registry,people,D Sabir,04bc296f
info,registry,people,DDE Richardson,90a1a14c
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,Festus Benn,de6b3760
info,registry,people,J Jemison,ce1abd25
info,registry,people,J Proctor,01b0d0a4
info,registry,people,JDA Richardson,e8c00c13
info,registry,people,K Fubler,b471ff6c
info,registry,people,K Hinds,a268c07b
info,registry,people,L Watson,f6f4b730
info,registry,people,M Taylor,92075cdc
info,registry,people,MJ Scotland,a1cc467d
info,registry,people,OGL Bascome,94a1827c
info,registry,people,P Manning,f06b5585
info,registry,people,R Davson,7804d401
info,registry,people,R Patten,4437df8c
info,registry,people,R Smith,0b91b5d5
info,registry,people,RA Tappin,7ce244fd
info,registry,people,S Smith,18a0ba24
info,registry,people,Sandeep Goud,c83ef4d6
