version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Canada
info,gender,female
info,season,2023
info,date,2023/09/07
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,5
info,venue,"Woodley Cricket Field, Los Angeles"
info,city,Los Angeles
info,toss_winner,Canada
info,toss_decision,field
info,player_of_match,RP Singh
info,umpire,BV Taylor
info,umpire,Emmerson Carrington
info,reserve_umpire,AR Maddela
info,match_referee,G McCrea
info,winner,United States of America
info,winner_runs,25
info,player,United States of America,D Dhingra
info,player,United States of America,GC Bhogle
info,player,United States of America,A Kolan
info,player,United States of America,S Sriharsha
info,player,United States of America,RP Singh
info,player,United States of America,IM Vaghela
info,player,United States of America,G Kodali
info,player,United States of America,U Iftikhar
info,player,United States of America,SR Thadani
info,player,United States of America,AI Chudasama
info,player,United States of America,CR Pagydyala
info,player,Canada,D McGahey
info,player,Canada,D Saxena
info,player,Canada,Amarpal Kaur
info,player,Canada,A Perera
info,player,Canada,V Vithanage
info,player,Canada,R Misra
info,player,Canada,Kainat Qazi
info,player,Canada,Saniyah Zia
info,player,Canada,K Kapadia
info,player,Canada,S Zafar
info,player,Canada,M Hundal
info,registry,people,A Kolan,85f5735b
info,registry,people,A Perera,788afc32
info,registry,people,AI Chudasama,9414a81c
info,registry,people,AR Maddela,5c861579
info,registry,people,Amarpal Kaur,3051fcc6
info,registry,people,BV Taylor,99760152
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,D McGahey,b5ef8f19
info,registry,people,D Saxena,cc7331d4
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,G Kodali,f606177e
info,registry,people,G McCrea,46f4a901
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,K Kapadia,52fc5577
info,registry,people,Kainat Qazi,1ccd4054
info,registry,people,M Hundal,213dc641
info,registry,people,R Misra,430f7ef9
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,S Zafar,60622213
info,registry,people,SR Thadani,76bda023
info,registry,people,Saniyah Zia,ffae3d12
info,registry,people,U Iftikhar,73ff4720
info,registry,people,V Vithanage,5eaff430
