version,2.2.0
info,balls_per_over,6
info,team,Indonesia
info,team,Mongolia
info,gender,female
info,season,2024
info,date,2024/04/21
info,event,Mongolia Women tour of Indonesia
info,match_number,2
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,bat
info,player_of_match,NKF Rada Rani
info,umpire,IGS Arsa
info,umpire,S Hawoe
info,winner,Indonesia
info,winner_runs,104
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,NKF Rada Rani
info,player,Indonesia,IGASF Pratiwi
info,player,Indonesia,Hilva Noor
info,player,Indonesia,NK Ariani
info,player,Indonesia,NKD Murtiari
info,player,Indonesia,NW Sariani
info,player,Indonesia,NMP Suwandewi
info,player,Indonesia,L Qiao
info,player,Indonesia,SI Bara
info,player,Mongolia,O Erdenebaatar
info,player,Mongolia,B Ichinkhorloo
info,player,Mongolia,T Ariuntsetseg
info,player,Mongolia,J Erdenesuvd
info,player,Mongolia,E Khaliunaa
info,player,Mongolia,G Anujin
info,player,Mongolia,G Urjindulam
info,player,Mongolia,M Enkhzul
info,player,Mongolia,O Amarjargal
info,player,Mongolia,B Namuunzul
info,player,Mongolia,B Narangerel
info,registry,people,B Ichinkhorloo,3cc55f88
info,registry,people,B Namuunzul,e14e70c0
info,registry,people,B Narangerel,07f0cb7a
info,registry,people,E Khaliunaa,1349b940
info,registry,people,G Anujin,e749f016
info,registry,people,G Urjindulam,a51e7c73
info,registry,people,Hilva Noor,8d747335
info,registry,people,IGASF Pratiwi,720fbaad
info,registry,people,IGS Arsa,68d52634
info,registry,people,J Erdenesuvd,24dacf72
info,registry,people,L Qiao,2b0deff9
info,registry,people,M Enkhzul,5f45a88b
info,registry,people,NK Ariani,382377a4
info,registry,people,NKD Murtiari,a38669ba
info,registry,people,NKF Rada Rani,39f4084c
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NMP Suwandewi,52b57a65
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,NW Sariani,e910d955
info,registry,people,O Amarjargal,c054cf6f
info,registry,people,O Erdenebaatar,f40bc7e3
info,registry,people,S Hawoe,e773dfe5
info,registry,people,SI Bara,850e9e00
info,registry,people,T Ariuntsetseg,2f8c4e6e
