version,2.2.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2024/25
info,date,2025/01/31
info,event,England tour of India
info,match_number,4
info,venue,"Maharashtra Cricket Association Stadium, Pune"
info,city,Pune
info,toss_winner,England
info,toss_decision,field
info,player_of_match,S Dube
info,umpire,J Madanagopal
info,umpire,Nitin Menon
info,reserve_umpire,R Pandit
info,tv_umpire,VK Sharma
info,match_referee,J Srinath
info,winner,India
info,winner_runs,15
info,player,India,SV Samson
info,player,India,Abhishek Sharma
info,player,India,Tilak Varma
info,player,India,SA Yadav
info,player,India,RK Singh
info,player,India,S Dube
info,player,India,HH Pandya
info,player,India,AR Patel
info,player,India,Arshdeep Singh
info,player,India,Ravi Bishnoi
info,player,India,CV Varun
info,player,India,Harshit Rana
info,player,England,PD Salt
info,player,England,BM Duckett
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,JG Bethell
info,player,England,BA Carse
info,player,England,J Overton
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,S Mahmood
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BA Carse,cad40f5e
info,registry,people,BM Duckett,5f26f677
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,HC Brook,4ae1755b
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Overton,59559bc2
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Pandit,8a604384
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,S Mahmood,0f6db197
info,registry,people,SA Yadav,271f83cd
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,VK Sharma,a7a49df4
