version,2.2.0
info,balls_per_over,6
info,team,China
info,team,Namibia
info,gender,female
info,season,2024/25
info,date,2024/12/05
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,match_number,3
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,China
info,toss_decision,bat
info,player_of_match,W Mwatile
info,umpire,John Prakash
info,umpire,Ramasamy Venkatesh
info,reserve_umpire,Sun Meng Yao
info,match_referee,TOW Chu
info,winner,Namibia
info,winner_wickets,10
info,player,China,Zi Mei
info,player,China,Jing Yang
info,player,China,Cai Yuzhi
info,player,China,Mengting Liu
info,player,China,Xu Qian
info,player,China,Gong Yuting
info,player,China,Jiaping Li
info,player,China,Wei Haiting
info,player,China,Zhang Yibing
info,player,China,Wang Huiying
info,player,China,Ma Ruike
info,player,Namibia,SA Wittmann
info,player,Namibia,E Van Zyl
info,player,Namibia,Yasmeen Khan
info,player,Namibia,W Mwatile
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Mwatile
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,KA Green
info,player,Namibia,I van Zyl
info,player,Namibia,V Hamunyela
info,registry,people,Cai Yuzhi,80d30c5f
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,Gong Yuting,edcd847a
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,Jiaping Li,35cac794
info,registry,people,Jing Yang,03f1a623
info,registry,people,John Prakash,b5f3d429
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,Ma Ruike,8ccef7e2
info,registry,people,Mengting Liu,1119a645
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,TOW Chu,49693035
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
info,registry,people,Wang Huiying,c84a3e06
info,registry,people,Wei Haiting,a1e30490
info,registry,people,Xu Qian,4d382b64
info,registry,people,Yasmeen Khan,ade5c0c0
info,registry,people,Zhang Yibing,85fba0db
info,registry,people,Zi Mei,72070f05
