version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,West Indies
info,gender,female
info,season,2022/23
info,date,2023/02/17
info,event,ICC Women's T20 World Cup
info,match_number,13
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,HK Matthews
info,umpire,Eloise Sheridan
info,umpire,VG Rathi
info,reserve_umpire,N Janani
info,tv_umpire,Lauren Agenbag
info,match_referee,SA Fritz
info,winner,West Indies
info,winner_wickets,6
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,EAJ Richardson
info,player,Ireland,L Little
info,player,Ireland,L Delany
info,player,Ireland,AN Kelly
info,player,Ireland,MV Waldron
info,player,Ireland,L Paul
info,player,Ireland,C Murray
info,player,Ireland,J Maguire
info,player,West Indies,HK Matthews
info,player,West Indies,RS Williams
info,player,West Indies,SA Campbelle
info,player,West Indies,CA Henry
info,player,West Indies,S Gajnabi
info,player,West Indies,AA Alleyne
info,player,West Indies,Z James
info,player,West Indies,T Holder
info,player,West Indies,ASS Fletcher
info,player,West Indies,K Ramharack
info,player,West Indies,SS Connell
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,AN Kelly,397369e0
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,C Murray,5a50471c
info,registry,people,CA Henry,75820733
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,GH Lewis,1b9d1579
info,registry,people,HK Matthews,d32cf49a
info,registry,people,J Maguire,1b1c23bb
info,registry,people,K Ramharack,321c980e
info,registry,people,L Delany,b4f73b44
info,registry,people,L Little,4f86926b
info,registry,people,L Paul,07248d8e
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,MV Waldron,2e4f11e9
info,registry,people,N Janani,d06a665d
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,RS Williams,406de451
info,registry,people,S Gajnabi,c35739a1
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,T Holder,41fd2907
info,registry,people,VG Rathi,144e5b16
info,registry,people,Z James,816af623
