version,2.2.0
info,balls_per_over,6
info,team,Seychelles
info,team,Malawi
info,gender,male
info,season,2022/23
info,date,2022/11/22
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,19
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Malawi
info,toss_decision,field
info,umpire,BM White
info,umpire,D Odhiambo
info,reserve_umpire,John Mayeku
info,match_referee,S Wadvalla
info,outcome,no result
info,player,Seychelles,Mazharul Islam
info,player,Seychelles,TKP Rajapaksha
info,player,Seychelles,SKDT Madusanka
info,player,Seychelles,N Krishna
info,player,Seychelles,S Udhayan
info,player,Seychelles,VL Mukesh
info,player,Seychelles,STRA de Silva
info,player,Seychelles,P Abhijit
info,player,Seychelles,SR Rocket
info,player,Seychelles,T Shanmugam
info,player,Seychelles,S Rukmal
info,player,Malawi,MA Baig
info,player,Malawi,C Chete
info,player,Malawi,M Choamba
info,player,Malawi,D Kansonkho
info,player,Malawi,G Kansonkho
info,player,Malawi,GM Ntambalika
info,player,Malawi,B Pondani
info,player,Malawi,Sami Sohail
info,player,Malawi,B Masauko
info,player,Malawi,D Jakiel
info,player,Malawi,A Limdawala
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,B Masauko,47c66d8a
info,registry,people,B Pondani,e5117568
info,registry,people,BM White,66c21d35
info,registry,people,C Chete,ef4f539a
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,D Odhiambo,45994517
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GM Ntambalika,8c8a3f08
info,registry,people,John Mayeku,9d819a32
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,Mazharul Islam,30564b3e
info,registry,people,N Krishna,c62a0327
info,registry,people,P Abhijit,bc0083f7
info,registry,people,S Rukmal,f5be7b08
info,registry,people,S Udhayan,a8d6305d
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SKDT Madusanka,95c2d309
info,registry,people,SR Rocket,ee3bfb9b
info,registry,people,STRA de Silva,21fe743b
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,T Shanmugam,60fc2c8c
info,registry,people,TKP Rajapaksha,b5dcec37
info,registry,people,VL Mukesh,44744467
