version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Vanuatu
info,gender,female
info,season,2024
info,date,2024/04/25
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,4
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Zimbabwe
info,toss_decision,bat
info,player_of_match,N Navaika
info,umpire,LDVV Silva
info,umpire,SB Haig
info,reserve_umpire,K Klaaste
info,match_referee,SM Bartlett
info,winner,Vanuatu
info,winner_wickets,6
info,player,Zimbabwe,SM Mayers
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,A Mazvishaya
info,player,Zimbabwe,N Sibanda
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,A Chilia
info,player,Vanuatu,M Carlot
info,player,Vanuatu,L Chilia
info,player,Vanuatu,G Chilia
info,player,Vanuatu,V Mansale
info,player,Vanuatu,M Tarimiala
info,player,Vanuatu,V Vira
info,registry,people,A Chilia,a0d07fd6
info,registry,people,A Mazvishaya,09a58e2d
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,G Chilia,daf255ce
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Chilia,87ac786c
info,registry,people,L Tshuma,f281dd00
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Carlot,dac46b52
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,M Tarimiala,0030a57d
info,registry,people,N Navaika,b0023708
info,registry,people,N Sibanda,edf62a25
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,R Andrew,66c1accf
info,registry,people,S Solman,24ed1f75
info,registry,people,SB Haig,811655b3
info,registry,people,SM Bartlett,7ba18406
info,registry,people,SM Mayers,91d9613e
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
