version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Hong Kong
info,gender,male
info,season,2024
info,date,2024/04/20
info,event,ACC Men's Premier Cup
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,Anshuman Rath
info,umpire,Morshed Ali Khan
info,umpire,V Kalidas
info,reserve_umpire,Rahul Asher
info,tv_umpire,Tariq Rasheed
info,match_referee,Selim Shahid
info,winner,Hong Kong
info,winner_wickets,4
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Sompal Kami
info,player,Nepal,RK Paudel
info,player,Nepal,S Jora
info,player,Nepal,Kushal Malla
info,player,Nepal,Gulsan Jha
info,player,Nepal,DS Airee
info,player,Nepal,Karan KC
info,player,Nepal,LN Rajbanshi
info,player,Nepal,A Bohara
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,A Gorawara
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Ateeq Iqbal
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Gorawara,c6b11959
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,DS Airee,1747ea18
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,S Jora,156378d8
info,registry,people,Selim Shahid,b478bce3
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,V Kalidas,42d76418
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
